source,target,relationship
22248.a67b25b5f9f62e6cef8890e6523d95cf72cb32a3,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22248.a67b25b5f9f62e6cef8890e6523d95cf72cb32a3,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22248.a67b25b5f9f62e6cef8890e6523d95cf72cb32a3,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22248.a67b25b5f9f62e6cef8890e6523d95cf72cb32a3,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22251.bf069a13fb3e6487b22c19b3e5641fc3983a6aa2,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22251.bf069a13fb3e6487b22c19b3e5641fc3983a6aa2,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22251.bf069a13fb3e6487b22c19b3e5641fc3983a6aa2,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22251.bf069a13fb3e6487b22c19b3e5641fc3983a6aa2,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22255.4bcdefa292c0070d84459eed6e964f0e72b95efd,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22255.4bcdefa292c0070d84459eed6e964f0e72b95efd,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22255.4bcdefa292c0070d84459eed6e964f0e72b95efd,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22255.4bcdefa292c0070d84459eed6e964f0e72b95efd,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22256.2920cf4c3f819423c7bfb8d7d5fe7d2c4faffdde,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22256.2920cf4c3f819423c7bfb8d7d5fe7d2c4faffdde,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22256.2920cf4c3f819423c7bfb8d7d5fe7d2c4faffdde,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22256.2920cf4c3f819423c7bfb8d7d5fe7d2c4faffdde,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22262.5f1e817c6040bf10c409efa662d3d2e60ae2bb6d,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22262.5f1e817c6040bf10c409efa662d3d2e60ae2bb6d,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22262.5f1e817c6040bf10c409efa662d3d2e60ae2bb6d,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22262.5f1e817c6040bf10c409efa662d3d2e60ae2bb6d,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22266.56b57d574cdf06559e58eafb65cfa02348023de6,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22266.56b57d574cdf06559e58eafb65cfa02348023de6,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22266.56b57d574cdf06559e58eafb65cfa02348023de6,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22266.56b57d574cdf06559e58eafb65cfa02348023de6,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22273.c4dac53683f1f6617a0eb4a5e8c0355d4661df59,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22273.c4dac53683f1f6617a0eb4a5e8c0355d4661df59,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22273.c4dac53683f1f6617a0eb4a5e8c0355d4661df59,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22273.c4dac53683f1f6617a0eb4a5e8c0355d4661df59,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22284.1ec96ca76f1b361bf0968b8a503258c5599129e1,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22284.1ec96ca76f1b361bf0968b8a503258c5599129e1,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22284.1ec96ca76f1b361bf0968b8a503258c5599129e1,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22284.1ec96ca76f1b361bf0968b8a503258c5599129e1,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22292.58e017bcd7c2d5900c362fc5510bff165ab7693a,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22292.58e017bcd7c2d5900c362fc5510bff165ab7693a,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22292.58e017bcd7c2d5900c362fc5510bff165ab7693a,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22292.58e017bcd7c2d5900c362fc5510bff165ab7693a,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22302.99ae99d0ca7f96026d62d78b64753800caf645ed,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22302.99ae99d0ca7f96026d62d78b64753800caf645ed,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22302.99ae99d0ca7f96026d62d78b64753800caf645ed,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22302.99ae99d0ca7f96026d62d78b64753800caf645ed,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22314.40f4239ec3fa16e9c8cb515ff6bcd60a6fff93ee,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22314.40f4239ec3fa16e9c8cb515ff6bcd60a6fff93ee,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22314.40f4239ec3fa16e9c8cb515ff6bcd60a6fff93ee,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22314.40f4239ec3fa16e9c8cb515ff6bcd60a6fff93ee,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22316.8b9c7d7d0220fef2900a4715e7e3f832d48804ea,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22316.8b9c7d7d0220fef2900a4715e7e3f832d48804ea,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22316.8b9c7d7d0220fef2900a4715e7e3f832d48804ea,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22316.8b9c7d7d0220fef2900a4715e7e3f832d48804ea,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22321.ae0314a25916c24a82be3465015827d4af0b55e6,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22321.ae0314a25916c24a82be3465015827d4af0b55e6,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22321.ae0314a25916c24a82be3465015827d4af0b55e6,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22321.ae0314a25916c24a82be3465015827d4af0b55e6,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22324.278fbf59162a6a9a600a7a7dcfc020eb902760ef,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22324.278fbf59162a6a9a600a7a7dcfc020eb902760ef,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22324.278fbf59162a6a9a600a7a7dcfc020eb902760ef,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22324.278fbf59162a6a9a600a7a7dcfc020eb902760ef,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
